Det_ID_Certificado,Distrito,Concelho,Freguesia_Fiscal,PerÃ-odo_Construcao_Geral,Tipo_Edificio,Nr de pisos,Zona ClimÃ¡tica de Inverno,Zona ClimÃ¡tica de VerÃ£o
38458763,LISBOA,LISBOA,MISERICÓRDIA,anterior a 1918,Fracção,3,I1,V3
37270890,BRAGA,BRAGA,BRAGA (SÃO JOSÉ DE SÃO LÁZARO E SÃO JOÃO DO SOUTO),anterior a 1918,Fracção,5,I2,V2
37389587,LISBOA,LISBOA,SANTA MARIA MAIOR,anterior a 1918,Fracção,6,I1,V3
38165637,LISBOA,ALENQUER,ALENQUER (SANTO ESTÊVÃO E TRIANA),anterior a 1918,Edifício,2,I1,V2
38574652,SETUBAL,GRANDOLA,MELIDES,anterior a 1918,Fracção,7,I1,V3
